cfb_name,teamrankings_name,Logo,Color1,Color2
Siena,Siena,#N/A,#N/A,#N/A
SIU Edwardsville,SIU Edward,,,
SMU,SMU,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,#354ca1,#cd2027
South Alabama,S Alabama,http://a.espncdn.com/i/teamlogos/ncaa/500/6.png,#00205B,#FFFFFF
South Carolina,South Carolina,http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,#73000A,#000000
South Carolina State,S Carolina St,#N/A,#N/A,#N/A
South Carolina Upstate,SC Upstate,,,
South Dakota,South Dakota,,,
South Dakota State,S Dakota St,#N/A,#N/A,#N/A
South Florida,S Florida,http://a.espncdn.com/i/teamlogos/ncaa/500/58.png,#006747,#CFC493
Southeast Missouri State,SE Missouri St,#N/A,#N/A,#N/A
Southern,Southern,#N/A,#N/A,#N/A
Southern Illinois,S Illinois,#N/A,#N/A,#N/A
Southern Indiana,S Indiana,,,
Southern Miss,Southern Miss,http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,#000000,#FDC737
Southern Utah,S Utah,#N/A,#N/A,#N/A
St. Bonaventure,St Bonaventure,#N/A,#N/A,#N/A
St. Francis (PA),St Francis PA,#N/A,#N/A,#N/A
St. Francis Brooklyn,St Fran (NY),#N/A,#N/A,#N/A
St. John's,St John's,#N/A,#N/A,#N/A
Stanford,Stanford,http://a.espncdn.com/i/teamlogos/ncaa/500/24.png,#8C1515,#FFFFFF
Stephen F. Austin,SF Austin,#N/A,#N/A,#N/A
Stetson,Stetson,#N/A,#N/A,#N/A
Stony Brook,Stony Brook,#N/A,#N/A,#N/A
Syracuse,Syracuse,http://a.espncdn.com/i/teamlogos/ncaa/500/183.png,#D44500,#000E54
Tarleton State,Tarleton St,,,
TCU,TCU,http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,#4d1979,#FFFFFF
Temple,Temple,http://a.espncdn.com/i/teamlogos/ncaa/500/218.png,#990033,#FFFFFF
Tennessee,Tennessee,http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,#FF8200,#FFFFFF
Tennessee State,Tennessee St,#N/A,#N/A,#N/A
Tennessee Tech,Tenn Tech,#N/A,#N/A,#N/A
Texas,Texas,http://a.espncdn.com/i/teamlogos/ncaa/500/251.png,#BF5700,#FFFFFF
Texas A&M,Texas A&M,http://a.espncdn.com/i/teamlogos/ncaa/500/245.png,#500000,#FFFFFF
Texas A&M-Corpus Christi,Texas A&M-CC,#N/A,#N/A,#N/A
Texas Southern,Texas So,#N/A,#N/A,#N/A
Texas State,Texas St,http://a.espncdn.com/i/teamlogos/ncaa/500/326.png,#501214,#8D734A
Texas Tech,Texas Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,#CC0000,#000000
The Citadel,The Citadel,#N/A,#N/A,#N/A
Toledo,Toledo,http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,#002569,#ffce00
Towson,Towson,#N/A,#N/A,#N/A
Troy,Troy,http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,#862633,#8a8d8f
Tulane,Tulane,http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png,#005837,#0082ba
Tulsa,Tulsa,http://a.espncdn.com/i/teamlogos/ncaa/500/202.png,#c5b783,#002d72
UAB,UAB,http://a.espncdn.com/i/teamlogos/ncaa/500/5.png,#006341,#CC8A00
UAlbany,Albany,#N/A,#N/A,#N/A
UC Davis,UC Davis,#N/A,#N/A,#N/A
UC Irvine,UC Irvine,#N/A,#N/A,#N/A
UC Riverside,UC Riverside,#N/A,#N/A,#N/A
UC San Diego,UCSD,,,
UC Santa Barbara,UCSB,#N/A,#N/A,#N/A
UCF,UCF,http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,#000000,#BA9B37
UCLA,UCLA,http://a.espncdn.com/i/teamlogos/ncaa/500/26.png,#0072ce,#ffc72c
UConn,UConn,http://a.espncdn.com/i/teamlogos/ncaa/500/41.png,#000E2F,#FFFFFF
UIC,Illinois Chicago,#N/A,#N/A,#N/A
UL Monroe,UL Monroe,http://a.espncdn.com/i/teamlogos/ncaa/500/2433.png,#840029,#FDB913
UMass Lowell,Umass Lowell,,,
UMBC,UMBC,#N/A,#N/A,#N/A
UNC Asheville,NC Asheville,#N/A,#N/A,#N/A
UNC Greensboro,NC Greensboro,#N/A,#N/A,#N/A
UNC Wilmington,NC Wilmington,#N/A,#N/A,#N/A
UNLV,UNLV,http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png,#B10202,#666666
USC,USC,http://a.espncdn.com/i/teamlogos/ncaa/500/30.png,#990000,#FFCC00
UT Arlington,UT Arlington,#N/A,#N/A,#N/A
UT Martin,UT Martin,#N/A,#N/A,#N/A
UT Rio Grande Valley,UT Rio Grande,#N/A,#N/A,#N/A
Utah,Utah,http://a.espncdn.com/i/teamlogos/ncaa/500/254.png,#CC0000,#FFFFFF
Utah State,Utah St,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png,#0F2439,#FFFFFF
Utah Tech,Utah Tech,,,
Utah Valley,Utah Valley,#N/A,#N/A,#N/A
UTEP,UTEP,http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,#002147,#FF5600
UTSA,UTSA,http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png,#0c2340,#FFFFFF
Valparaiso,Valparaiso,#N/A,#N/A,#N/A
Vanderbilt,Vanderbilt,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png,#000000,#997F3D
VCU,VCU,#N/A,#N/A,#N/A
Vermont,Vermont,#N/A,#N/A,#N/A
Villanova,Villanova,#N/A,#N/A,#N/A
Virginia,Virginia,http://a.espncdn.com/i/teamlogos/ncaa/500/258.png,#041e42,#fa4616
Virginia Tech,Virginia Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/259.png,#660000,#FF6600
VMI,VMI,#N/A,#N/A,#N/A
Wagner,Wagner,#N/A,#N/A,#N/A
Wake Forest,Wake Forest,http://a.espncdn.com/i/teamlogos/ncaa/500/154.png,#000000,#9E7E38
Washington,Washington,http://a.espncdn.com/i/teamlogos/ncaa/500/264.png,#363c74,#e8d3a2
Washington State,Washington St,http://a.espncdn.com/i/teamlogos/ncaa/500/265.png,#981e32,#5e6a71
Weber State,Weber St,#N/A,#N/A,#N/A
West Virginia,West Virginia,http://a.espncdn.com/i/teamlogos/ncaa/500/277.png,#002855,#EAAA00
Western Carolina,W Carolina,#N/A,#N/A,#N/A
Western Illinois,W Illinois,#N/A,#N/A,#N/A
Western Kentucky,W Kentucky,http://a.espncdn.com/i/teamlogos/ncaa/500/98.png,#B01E24,#FFFFFF
Western Michigan,W Michigan,http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png,#6c4023,#b5a167
Wichita State,Wichita St,#N/A,#N/A,#N/A
William & Mary,William & Mary,#N/A,#N/A,#N/A
Winthrop,Winthrop,#N/A,#N/A,#N/A
Wisconsin,Wisconsin,http://a.espncdn.com/i/teamlogos/ncaa/500/275.png,#c5050c,#FFFFFF
Wofford,Wofford,#N/A,#N/A,#N/A
Wright State,Wright St,#N/A,#N/A,#N/A
Wyoming,Wyoming,http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,#492f24,#ffc425
Xavier,Xavier,#N/A,#N/A,#N/A
Yale,Yale,#N/A,#N/A,#N/A
Youngstown State,Youngstown St,#N/A,#N/A,#N/A
